Agency,Parent CN ID,CN ID,Publish Date,Amendment Date,Status,StartDate,EndDate,Value,Description,Agency Ref. ID,Category,Procurement Method,ATM ID,SON ID,Confidentiality - Contract,Confidentiality - Contract Reason(s),Confidentiality - Outputs,Confidentiality - Outputs Reason(s),Consultancy,Consultancy Reason(s),Amendment Reason,Supplier Name,Supplier Address,Supplier City,Supplier Postcode,Supplier Country,Supplier ABNExempt,Supplier ABN,Agency Branch,Agency Divison,Agency Postcode
AusAid,,CN1123662,2013-01-04, ,published,2012-10-17,2013-02-25,108659.00,Analysis of social assistance policy making (Indonesia),64402,Economics,Limited tender,,,No,,No,,No,,,OVERSEAS DEVELOPMENT INSTITUTE,111 Westminster Bridge Road,Outside Australia,,UNITED KINGDOM,Yes,,Operations Support Branch,Corporate Governance and Review,2601
Defence Materiel Organisation,,CN1123672,2013-01-04, ,published,2012-12-07,2013-02-27,19536.00, Components For Weapons System ,DNLLCA,Conventional war weapons,Limited tender,,,No,,No,,No,,,THALES AUSTRALIA - BENDIGO,,BENDIGO,3550,AUSTRALIA,No,66008642751,,,2600
AusAid,,CN1123692,2013-01-04, ,published,2012-10-17,2013-04-15,53933.44,Democratic Governance  Specialist - contribution to a review of Democratic Governance Programs (Papua New Guinea),64891,Community and social services,Limited tender,,,No,,No,,No,,,"KLUGMAN, JULIE",81  ANNETS PDE,MOSSY POINT,2537,AUSTRALIA,No,53609549589,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123702,2013-01-04, ,published,2012-10-29,2013-01-14,63494.20,Assessment of partner governments procurement system (Solomon Islands),64882,Education and Training Services,Limited tender,,,No,,No,,No,,,CHARLES KENDALL & PARTNERS LTD,"7 ALBERT COURT, PRINCE CONSORT ROAD",Outside Australia,,UNITED KINGDOM,Yes,,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123712,2013-01-04, ,published,2012-10-08,2012-11-02,17030.64,Communications support for the Tackling Malaria 2012 Conference,64877,Human resources services,Limited tender,,,No,,No,,No,,,KATHRYN GRUSOVIN,15 VIRGINIA STREET,KENSINGTON,2033,AUSTRALIA,No,12109248693,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123732,2013-01-04, ,published,2012-10-19,2013-06-30,29971.46,External Audit of the Untied Incentive Fund for the Provincial Road Management Facility(Philippines),64842,Management advisory services,Limited tender,,,No,,No,,No,,,COMMISSION ON AUDIT,Commonwealth Avenue,Outside Australia,,PHILIPPINES,Yes,,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123742,2013-01-04, ,published,2012-10-09,2013-02-04,12288.32,Design Specialist - improving oversight of cooperative conservation and research program (China),64837,Environmental protection,Limited tender,,,No,,No,,No,,,CLEAR HORIZON CONSULTING PTY. LTD. T/A CLEAR HORIZON,1/12 AVONDALE AVENUE,CHELSEA,3196,AUSTRALIA,No,37115522051,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123762,2013-01-04, ,published,2012-10-10,2014-04-09,20270.45,Technical  Services - contribution to the Organisational Development and Scholarships Unit (Philippines),64787,Business administration services,Limited tender,,,No,,No,,No,,,MIA R. BUERANO,"BLK. 6, LOT 16, PHASE 2, DAMA DE NOCHE ST., STA. MARIA SUBDIVISION, BGY. DALIG",Outside Australia,,PHILIPPINES,Yes,,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123772,2013-01-04, ,published,2012-10-22,2013-06-30,118181.80,Social Development and Health Specialist - contribtuion to the Empowering Indonesian Women for Poverty Reduction Progam (Indonesia),64783,Management advisory services,Limited tender,,,No,,No,,No,,,ROSALIA MARIA EMANUELE SCIORTINO,Martaban Rd. 9,Outside Australia,,SINGAPORE,Yes,,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123782,2013-01-04, ,published,2012-10-03,2012-10-31,34500.00,Administrative assistance for strategic planning workshop (Global),64781,Business administration services,Limited tender,,,No,,No,,No,,,BLANCA D. PASAPORTE,"19 Alvir Street, Barangay Little Baguio",Outside Australia,,PHILIPPINES,Yes,,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123792,2013-01-04, ,published,2012-10-24,2014-01-31,59174.96,Training Program - Improving the competency of school division superintendents (Philippines),64769,Management advisory services,Limited tender,,,No,,No,,No,,,DE LA SALLE UNIVERSITY,2401 Taft Avenue,Outside Australia,,PHILIPPINES,Yes,,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123802,2013-01-04, ,published,2012-10-02,2013-06-30,21944.78,Audit of  water tanks (Republic of the Marshall Islands),64763,Building construction and support and maintenance and repair services,Limited tender,,,No,,No,,No,,,REEVES INTERNATIONAL PTY LTD,"Level 1, 473-479 Victoria Street,",West Melbourne,3003,AUSTRALIA,No,82080626713,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123812,2013-01-04, ,published,2012-11-12,2013-03-31,59650.47,Human Resource Specialist - Pacific Technical Assistance Mechansim Phase II Design,64754,Management advisory services,Limited tender,,,No,,No,,No,,,"WAHAB, EILEEN LILY",,BALGOWLAH,2093,AUSTRALIA,No,24875702031,Operations Support Branch,Corporate Governance and Review,2601
Department of Health and Ageing,CN998131,CN998131-A1,2012-10-31,2013-01-04,published,2012-07-01,2013-02-28,88000.00, Aboriginal and Torres Strait Islander Service Development Assistance Panel Services ,4500107638,Corporate objectives or policy development,Open tender,024/0910,SON338950,No,,No,,No,,Contract delay,D & R COMMUNITY SERVICES PTY LTD,,CAIRNS,4870,AUSTRALIA,No,19115332057,,Ageing and Aged Care Division,2606
Department of Health and Ageing,CN1036851,CN1036851-A1,2012-11-20,2013-01-04,published,2012-10-26,2013-06-30,96000.00, Provision of Legal Services ,4500107731,Business law services,Open tender,661011,SON463823,No,,No,,Yes,Need for specialised or professional skills,Contract value change,Corrs Chambers Westgarth,,MELBOURNE,3000,AUSTRALIA,No,89690832091,,Pharmaceutical Benefits Division,2606
Department of Foreign Affairs and Trade,CN750481,CN750481-A1,2012-07-23,2013-01-04,published,2012-07-01,2013-10-31,258366.25, Provision of Business Administration Services ,FO010712-IMDIPB0575,Business administration services,Open tender,RFTS07/0129,SON50822,No,,No,,No,,This contract has been extended.,COMPAS PTY. LTD.,"Unit 4, Level 1, 80 Emu Bank",Belconnen,2617,AUSTRALIA,No,90008615745,FMB,CMD,221
Department of Foreign Affairs and Trade,,CN1122032,2013-01-04, ,published,2012-12-20,2013-01-31,33275.00,Provision of Project Management,FO201212-OPOPPB0564,Project management,Open tender,,,No,,No,,No,,,ICON RECRUITMENT PTY LTD,Level 4/31 Queen Street,Melbourne,3000,Australia,No,14007145637,FMB,CMD,221
Defence Materiel Organisation,,CN1122052,2013-01-04, ,published,2012-12-21,2013-05-30,37181.65, SERVICE DRESS SHIRTS WOMEN VARIOUS STYLES/SIZES ,"CC2NG3,CC2NH0,CC2NH1,CC2NH2,DNLMXW",Clothing,Open tender,DMO/LSD/00187/2011,SON464217,No,,No,,No,,,Australian Defence Apparel,14 Gaffney Street,COBURG,3058,AUSTRALIA,No,67006898906,ISSB,LSD,3006
Department of Immigration and Citizenship,,CN1122092,2013-01-04, ,published,2011-04-03,2014-04-02,41673.65,DIAC SA HSS North region refugee settlement,70003150,Refugee programs,Open tender,,,No,,No,,No,,,MIGRANT RESOURCE CENTRE OF SA INC,59 KING WILLIAM STREET,ADELAIDE,5000,Australia,No,42131904410,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,2617
Department of Immigration and Citizenship,,CN1122102,2013-01-04, ,published,2012-10-12,2014-04-02,2470518.36,Refugee Settlement,70003247,Refugee programs,Open tender,RFT10/05,,No,,No,,No,,,RESOLVE FM PTY LIMITED,PO Box 181,"BELMONT, WA",6984,Australia,No,16054527865,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,2617
Department of Immigration and Citizenship,,CN1122142,2013-01-04, ,published,2011-04-01,2013-03-31,55000.00,Corporate Legal Expenses Australian Government Solicitor,70006355,Legal services,Open tender,RFT 10/12,SON368349,Yes,Privacy Act 1988,No,,No,,,AUSTRALIAN GOV SOLICITOR,50 BLACKALL STREET,CANBERRA,2610,Australia,No,69405937639,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,2617
Department of Immigration and Citizenship,,CN1122162,2013-01-04, ,published,2012-11-14,2016-06-30,126841.00,Employer awareness research related to the employer sanctions regime,70007152,Corporate objectives or policy development,Open tender,FAHCSIA/11/RFT/711,SON456233,No,,No,,No,,,HALL & PARTNERS OPEN MIND PTY LTD,68 DRUMMOND STREET,CARLTON,3053,Australia,No,28130990288,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,2617
Department of Immigration and Citizenship,,CN1122222,2013-01-04, ,published,2012-12-01,2014-11-30,500000.00,Medical Assessments and Infectious Diseases Screening and vaccinations for Departmental staff,70007294,Occupational health or safety services,Open tender,RFT11/88,SON1072291,No,,No,,No,,,THE TRAVEL DOCTOR TMVC PTY LTD,LEVEL 2-3/393 LITTLE BOURKE ST,MELBOURNE,3000,Australia,No,93003457289,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,2616
Department of Immigration and Citizenship,,CN1122232,2013-01-04, ,published,2012-12-05,2013-06-30,300000.00,Campaign advertising - employer awareness,70007296,Advertising,Open tender,FIN08/AMG010-B,SON194870,No,,No,,No,,,MEDIABRANDS AUSTRALIA PTY LTD,166 WILLIAM STREET,WOOLLOOMOOLOO,2011,Australia,No,19002966001,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,2616
Department of Immigration and Citizenship,,CN1122242,2013-01-04, ,published,2012-12-07,2012-12-21,697300.00,Air charter - various locations,70007297,Passenger air transportation,Open tender,DNL09009,SON179438,No,,No,,No,,,ADAGOLD AVIATION PTY LIMITED,PO Box 454,HAMILTON,4007,Australia,No,73102146725,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,2600
Department of Immigration and Citizenship,,CN1122252,2013-01-04, ,published,2012-12-11,2012-12-21,92000.00,Air Charter - Perth/Christmas Island/Perth,70007298,Passenger air transportation,Open tender,DNL09009,SON179438,No,,No,,No,,,TOLL REMOTE LOGISTICS PTY LTD,330 COLLINS STREET,MELBOURNE,3000,Australia,No,99004210093,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,2600
Department of Immigration and Citizenship,,CN1122272,2013-01-04, ,published,2012-12-15,2012-12-21,99375.00,Air Charter - Darwin to Perth,70007300,Passenger air transportation,Open tender,DML09009,SON179438,No,,No,,No,,,TOLL REMOTE LOGISTICS PTY LTD,330 COLLINS STREET,MELBOURNE,3000,Australia,No,99004210093,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,2600
Department of Immigration and Citizenship,,CN1122352,2013-01-04, ,published,2012-12-14,2015-12-13,38946.10,Long Term Vehicle Hire,70007313,Motor vehicles,Open tender,FINANCE 04001,SON27006,No,,No,,No,,,LEASEPLAN AUSTRALIA LIMITED,PO Box 6064,ST KILDA RD CENTRAL,8008,Australia,No,57006923011,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,2000
Department of Climate Change and Energy Efficiency,CN414950,CN414950-A3,2011-07-28,2013-01-04,published,2011-03-21,2012-12-21,512312.00, ICT Contractor Services ,STD-001868-2,Project management,Open tender,,SON50822,No,,No,,No,,Update Contract Value and End Date,Compas Pty Ltd,PO Box 634,CIVIC SQUARE,2608,AUSTRALIA,No,90008615745,Business Services,Corporate Support,2601
Department of Climate Change and Energy Efficiency,CN451955,CN451955-A3,2011-12-13,2013-01-04,published,2011-09-08,2012-06-30,259500.00, Business Project Manager ,STD-003270-0,Management advisory services,Open tender,,SON50822,No,,No,,No,,Amend Contract Value and End Date,Connexxion Pty Ltd,"Level 5, 28 University Avenue",CANBERRA,2600,AUSTRALIA,No,80105196423,Business Services,Corporate Support,2601
Department of Climate Change and Energy Efficiency,CN415623,CN415623-A2,2011-08-01,2013-01-04,published,2011-07-01,2012-12-31,250000.00, Communications Non English speaking backgrounds ,STD-002489-0,Environmental management,Open tender,,,No,,No,,No,,Update End Date,Cultural Partners Australia,Suite 5 340 Darling Street,BALMAIN,2041,AUSTRALIA,No,44069196292,Business Services,Corporate Support,2601
Clean Energy Regulator,,CN1122432,2013-01-04, ,published,2013-01-09,2013-01-21,19008.00,Penetration Tester,STD-001156-0,Information technology consultation services,Open tender,,SON382039,No,,No,,No,,,Revolution IT Pty Ltd,Level 7 170 Queen St,MELBOURNE,3000,Australia,No,32107913342,Finance and Procurement,Corporate Services,2601
Clean Energy Regulator,,CN1122442,2013-01-04, ,published,2013-01-10,2013-06-30,99000.00,Senior Test Analyst,STD-001155-0,Information technology consultation services,Open tender,,SON867801,No,,No,,No,,,Aurec Pty Ltd,10 Bridge Street,SYDNEY,2000,Australia,No,60103121464,Finance and Procurement,Corporate Services,2601
Clean Energy Regulator,,CN1122452,2013-01-04, ,published,2013-01-02,2013-12-31,297440.00,Change Manager,STD-001154-0,Information technology consultation services,Open tender,,SON867801,No,,No,,No,,,Peoplebank Australia Ltd,Level 17 15 Blue Street,NORTH SYDNEY,2060,Australia,No,42003995748,Finance and Procurement,Corporate Services,2601
Clean Energy Regulator,,CN1122462,2013-01-04, ,published,2013-01-02,2013-06-30,222750.00,ICT Solution Architect,STD-001146-0,Information technology consultation services,Open tender,,SON867801,No,,No,,No,,,Business Aspect (ACT) Pty Ltd,PO Box 641,SPRING HILL,4004,Australia,No,61121411274,Finance and Procurement,Corporate Services,2601
Clean Energy Regulator,,CN1122472,2013-01-04, ,published,2013-01-21,2013-06-30,82500.00,System Testing Services,STD-001145-0,Computer services,Open tender,,SON867801,No,,No,,No,,,Peoplebank Australia Ltd,Level 17 15 Blue Street,NORTH SYDNEY,2060,Australia,No,42003995748,Finance and Procurement,Corporate Services,2601
Clean Energy Regulator,,CN1122492,2013-01-04, ,published,2013-01-02,2013-06-30,160120.00,Solution Architect - ICT Contractor,STD-001142-0,Information technology consultation services,Open tender,,SON867801,No,,No,,No,,,Compas Pty Ltd,PO Box 634,CIVIC SQUARE,2608,Australia,No,90008615745,Finance and Procurement,Corporate Services,2601
Clean Energy Regulator,,CN1122502,2013-01-04, ,published,2012-11-26,2013-06-30,220000.00,Technical Team Lead,STD-001141-0,Information technology consultation services,Open tender,,SON867801,No,,No,,No,,,Compas Pty Ltd,PO Box 634,CIVIC SQUARE,2608,Australia,No,90008615745,Finance and Procurement,Corporate Services,2601
Clean Energy Regulator,,CN1122512,2013-01-04, ,published,2012-12-13,2013-12-24,331408.00,Project Manager,STD-001133-0,Project management,Open tender,,SON867801,No,,No,,No,,,Finite Recruitment Pty Ltd,"Level 31, Australia Square 264 George St",SYDNEY,2000,Australia,No,43085406300,Finance and Procurement,Corporate Services,2601
Department of Climate Change and Energy Efficiency,CN472937,CN472937-A4,2012-03-22,2013-01-04,published,2011-12-14,2012-12-12,300925.00, Finance Professional ,STD-004152-0,Accounting services,Open tender,,,No,,No,,No,,Update Contract Value and End Date,Freebody Cogent Pty Ltd,457 Dicks Creek Road,MURRUMBATEMAN,2582,AUSTRALIA,No,50081580387,Business Services,Corporate Support,2601
Department of Climate Change and Energy Efficiency,CN475507,CN475507-A1,2012-03-30,2013-01-04,published,2012-03-01,2012-11-30,132000.00, CFI Soil Carbon Modelling Tool - Developer ,STD-004145-0,Software,Open tender,,SON50822,No,,No,,No,,Update Contract Value and End Date,Peoplebank Australia Ltd,Level 17 15 Blue Street,NORTH SYDNEY,2060,AUSTRALIA,No,42003995748,Business Services,Corporate Support,2601
Department of Climate Change and Energy Efficiency,CN551562,CN551562-A1,2012-05-24,2013-01-04,published,2012-03-26,2012-07-06,100000.00, ICT Contractor Services ,STD-004525-0,Business administration services,Open tender,,SON50822,No,,No,,No,,Update Contract Value and End Date,SMS Consulting Group Ltd,Level 41 140 William St,MELBOURNE,3000,AUSTRALIA,No,17006515028,Business Services,Corporate Support,2601
Department of Climate Change and Energy Efficiency,CN475523,CN475523-A1,2012-03-30,2013-01-04,published,2011-12-07,2012-12-31,200000.00, Probity Advisor ,STD-004206-0,Management advisory services,Open tender,,SON150080,No,,No,,No,,Update Contract Value,Sparke Helmore Lawyers,PO Box 812,Newcastle,2300,AUSTRALIA,No,78848387938,Business Services,Corporate Support,2601
Department of Climate Change and Energy Efficiency,CN481356,CN481356-A1,2012-04-24,2013-01-04,published,2012-03-30,2012-06-30,132000.00, FullCAM IT QA Contractor ,STD-004380-0,Software maintenance and support,Open tender,SON50822,SON50822,No,,No,,No,,Update Contract Value,Talent International (ACT) Pty Ltd,Suite 1 35 Geils Court,DEAKIN,2600,AUSTRALIA,No,95121819305,Business Services,Corporate Support,2601
Australian Securities and Investments Commission,CN782441,CN782441-A9,2012-08-02,2013-01-04,published,2012-08-13,2013-06-30,939660.00, Design and build portals ,0000003342 ITS2011/17856(8) CO7,Information technology consultation services,Open tender,,SON310345,No,,No,,No,,"Additional $33,000",UXC Limited,,Melbourne,3000,AUSTRALIA,No,65067682928,,,2000
Department of Climate Change and Energy Efficiency,,CN1122612,2013-01-04, ,published,2012-04-03,2013-06-30,481119.00, ICT Services ,STD-004567-0,Computer services,Open tender,,SON50822,No,,No,,No,,,Acumen Contracting and Recruitment Pty Ltd,GPO Box 4328,Melbourne,3001,AUSTRALIA,No,14007145637,,,2601
