Description,ECCN1,ECCN2,ECCN3,ECCN4,ECCN5
Resin impregnated fibers,1C010e,,,,
Resin (thermoset) impregnated continuous materials,1C210c,,,,
"Resin impregnated fiber prepregs, propulsion & space systems",9A110,,,,
"Resist materials, semiconductor lithography",3C002,,,,
"Resists (positive), semiconductor lithography",3C992,,,,
"Resist material, coated (semiconductor) substrates",3C002,,,,
"Resistors, fixed",3A611y23,,,,
Restraint devices (electronic monitoring),3A981,,,,
"Restraint devices, law enforcement, including leg irons, shackles, and handcuffs; straight jackets, stun cuffs; shock belts; shock sleeves, multipoint restraint devices, restraint chairs",0A982,,,,
"Reticles, integrated circuits of 3A001",3B001g,,,,
Reticles and designs,3B991b2,,,,
Reticle sights,0A987,,,,
Rhenium and alloys containing rhenium,1C241,,,,
Rheostats,3A611y8,,,,
Ricin,1C351d11,,,,
Rickettsia prowazekii,1C351c15,,,,
Rift Valley fever virus,1C351a29,,,,
Rinderpest virus,1C352a12,,,,
Ring laser gyro mirror characterizing equipment,7B002,,,,
Ring Magnets,0A999,,,,
Robot end-effectors,2B207,,,,
Robot end-effectors,2B007,,,,
Robot controllers for high explosive handling,2B207,,,,
Robot controllers,2B007,,,,
Robots with real time 3D image processing or scene analysis,2B007a,,,,
Robots not controlled by 2B007 or 2B207,2B997,,,,
"Robots, specially designed to operate at high altitudes",2B007d,,,,
"Robots, explosive/munitions environment handling",2B007b,,,,
"Robots, radiation hardened",2B007c,,,,
Robots with real time 3D image processing or scene analysis,2B207,,,,
Robots specially designed for underwater use,8A002h,,,,
Rocio virus,1C351a30,,,,
Rocket fuels,1C111,,,,
"Rocket/rocket motor, test benches/stands",9B117,,,,
"Rocket engines, solid propellant",9A107,,,,
"Rocket motors, hybrid",9A109,,,,
Rocket nozzles,9A106b,,,,
"Rocket stages, other than those of 9A005/7/9, 9A105/107/109",9A119,,,,
Rocket motor inspection equipment,9B007,,,,
"Rockets, sounding",9A104,,,,
"Roller bearings, solid",2A001a,,,,
Rollers for prepregs/preform production,1B101d,,,,
Rotary position feedback units,2B008b,,,,
"Rotor assembly mandrels, bellows formin",2B228a,,,,
Rotor centrifugal balancing machines,2B229,,,,
"Rotor components, tooling for manufacture",9B009,,,,
Rotor fabrication/assembly equipment,2B228a,,,,
"Rotor forming mandrels, precision",2B209b,,,,
Rotor straightening equipment or systems,2B228b,,,,
"Routers, telecommunications",5A991c10,,,,
Ruby lasers,6A995c,,,,
Russian Spring-Summer encephalitis virus,1C351a35,,,,
S-parameter test/measurement equipment,3B002a,,,,
S20 and S25 photocathodes,6A002,,,,
Sabia,1C351a31,,,,
"Safety cabinets, capable of biological use",2B352f2,,,,
Salmonella typhi,1C351c16,,,,
"Salvage systems, ocean",8A001e,,,,
Saps,0A978,,,,
SARS-associated coronavirus (SARS-CoV),1C351b2,,,,
Satellite communication equipment technology,5E001b1,,,,
Satellite receivers,7A005,,,,
"Satellite receivers, other than those of 7A005",7A105,,,,
"Satellites, commercial communication",9A004,,,,
SAW (Surface Acoustic Wave) devices,3A001c1,,,,
Saxitoxin,1C351d12,,,,
Scanning cameras & systems,6A003b2,,,,
Scatterometers,7B002a,,,,
"Scatterometers, to characterize mirrors for laser gyro equipment",7B102a,,,,
Sclerophthora rayssiae var. zeae,1C354b8,,,,
Scramjet engines/components,9A011,,,,
Scuba gear,8A992h,,,,
SDH (Synchronous Digital Hierarchy) technology,5E001b4,,,,
SDH (Synchronous Digital Hierachy) technology,5E991a2,,,,
"Sea-induced motion control systems, automatic",8A002n,,,,
Sealers (semi-automatic or automatic hot cap) for ceramic microcircuit packages,3B991b3c,,,,
Seal-less pumps,2B350i,,,,
"Seals, aircraft/aerospace use",1A001a,9A610x,,,
"Seals, for surface effect vessels",8A002k,,,,
"Seals, made from fluoroelastomers",1A001c,,,,
Search lights,0A617y5,,,,
"Seats, seat assemblies, seat supports, and harnesses – for ground vehicles",0A606y14,,,,
"Security equipment, information",5A002,,,,
"Security equipment, information, software",5D002,,,,
Security imaging equipment,2A984,2D984,2E984,,
Security scanning equipment,2A984,2D984,2E984,,
"Segmented mirrors, assembly in space",6A004c3,,,,
Seismic detection equipment,6A999a,,,,
"Semiconductor, test equipment",3B002,,,,
Semiconductor compound photocathodes,6A002a2c3,,,,
"Semiconductor components, extended temperature range",3A001a2,,,,
"Semiconductor component design software, computer-aided-design",3D003,,,,
Semiconductor device discrete testing equipment,3B992b4a,,,,
Semiconductor device inspection or testing equipment and systems,3B992b,,,,
Semiconductor device or material manufacturing equipment,3B001,,,,
Semiconductor devices manufacturing equipment and systems,3B991b,,,,
Semiconductor lasers,6A005d1,,,,
Semiconductor materials purifying or processing equipment,3B991b1b,,,,
"Semiconductor probing systems, electron & laser beam",3B002d,,,,
Sensing devices (electronic),6A002a2a2b,,,,
"Sensing elements, hydrophone",6A001a2a,,,,
"Sensing fibers, optical (not controlled by 6A002)",6C992,,,,
"Sensor materials, optical",6C002,,,,
"Sensors, direction finding systems (passive)",7A115,,,,
"Sensors, industrial infrared",6A002a,,,,
"Sensors, linear position feedback unit",2B008a,,,,
"Sensors, Micromachined Angular Rate",7A994,,,,
"Sensors, multispectral imaging",6A002b,,,,
"Sensors, optical",6A992,,,,
"Sensors, optical",6A002,,,,
"Sensors, pressure (manganin & quartz)",6A226,,,,
"Sensors, radiation hardened",6A102,,,,
"Sensors, superconductive electromagnetic",6A996,,,,
Seoul virus,1C351a32,,,,
Separation mechanisms for missiles,9A117,,,,
"Separators, centrifugal (biological)",2B352c,,,,
"Separators, electromagnetic isotope",1B226,,,,
"Servo valves, gel propellant control systems",9A106d,,,,
Shackles,0A982,,,,
Shaft encoders (rotary input type),3A001f,,,,
Shale oil,1C981,,,,
"Shaving machines, gear",2B003,,,,
Sheep pox virus,1C352a13,,,,
"Shields, police",0A979,,,,
Shiga toxin,1C351d13,,,,
Shiga-like ribosome inactivating proteins other than verotoxin,1C351d17,,,,
"Shiga toxin producing Escherichia coli (STEC) of serogroups O26, O45, O103, O104, O111,O121, O145, O157, and other shiga toxin producing serogroups",1C351c17,,,,
Shigella dysenteriae,1C351c18,,,,
"Ship vessel positioning systems, acoustic",6A001a1d,,,,
Shims for gas turbine engines,9A619y6,,,,
Shock batons,0A985,,,,
Shock belts,0A982,,,,
Shock shields,0A985,,,,
Shock sleeves,0A982,,,,
Shock tubes,1C608b,1C992c,,,
"Shoes, protective",1A004,1A995,,,
Shortwave radio technology,5E001c4c,,,,
Shotgun shells,0A986,,,,
Shotgun shell manufacturing equipment,0B986,,,,
"Shotgun shells, buckshot",0A984,,,,
"and shotgun shells, technology for the development or production of",0E984,,,,
"Shotguns, barrel length 18 inches or over",0A984,,,,
"Shotgun trigger mechanisms, barrels, magazines, magazine extension tubes, receivers",0A984,,,,
Shrink fit machines for rotor fabrication/assembly,2B228a,,,,
Side Scan Sonar designed for seabed imaging,6A001a1a3,,,,
Sidelooking airborne radar (SLAR),6A008d,,,,
Sights and sighting devices for firearms,0A987,,,,
Signal processor microcircuits,3A001a3 Note,,,,
"Signal generators, frequency synthesizer based",3A002d,,,,
Signal analyzers,3A002c,,,,
"Signal processing devices, acousto-optic",3A001c3,,,,
"Signal processing equipment, sonar",6A001a1d,,,,
Signal processing equipment,4A994f,,,,
"Signal processing equipment, general purpose digital",4A003,,,,
"Signal processing equipment, hydrophone arrays",6A001a2c,,,,
"Signal tracking development/use technology, laser",5E001b2,,,,
"Signature suppression devices, treatments & fittings",1C001,,,,
Signature (electromagnetic) reduction devices,1C001,,,,
Signature (electromagnetic) reduction devices,1A101,,,,
"Signature suppression devices, treatments & fittings",1A101,,,,
Silahydrocarbon oils,1C006a1,,,,
Silicon carbide (SiC) substrate blanks,6C004d,,,,
"Silicon, hetero-epitaxial grown multi-layer substrates",3C001a,,,,
Silicon microcircuits,3A001a,,,,
Silicone carbide wafers,3C005,,,,
Silicon-on-sapphire integrated circuits,3A001a Note 2,,,,
"Silicone fluid, fluorinated",1C006b2,,,,
Silver gallium selenide (AgGaSe2),6C004b2,,,,
Silylated resists for semiconductor lithography,3C002d,,,,
Simulators for nuclear reactors,2A291b,,,,
"Simultaneous initiation arrangements or systems, single & multipoint",3A232b,,,,
Single crystal casting control software,9D004c,,,,
Single crystal casting equipment,9B001a,9B619,,,
Single crystals,6C002b,,,,
Single mode optical fiber & cable,5A991,,,,
"Single point diamond turning techniques, technology",6E003d2,,,,
"Single-element & focal plane arrays, space-qualified",6A002e,,,,
Sin Nombre virus,1C351a33,,,,
"Skin friction transducers, wall",9B008,,,,
"Skirts, for surface effect vessel",8A002k,,,,
Slapper detonators (Electric),1A007,3A232a3,,,
Slurry propellant control systems,9A106d,,,,
Small waterplane area vessels,8A001i,,,,
Smoke bombs,1A984,,,,
Smoke detector for military aircraft,9A610y27,,,,
Sodium azide,1C992l,,,,
Sodium bifluoride,1C350d16,,,,
Sodium cyanide,1C350d17,,,,
Sodium fluoride,1C350d18,,,,
Sodium (Na) metal vapor lasers,6A005b,,,,
Sodium sulphide,1C350d19,,,,
Software,see product group D for controls in each category,,,,
"Software, adaptive control",2D002b2,,,,
"Software, adaptive control",2D992a,,,,
"Software, dedicated, for toxic gas monitoring systems and their dedicated detecting components controlled by 2B351",2D351,,,,
"Software, electronic devices",2D002,,,,
"Software, for coordinating function of multiple subsystems for use in missiles",9D105,,,,
"Software, for potable electric generator development or production",2D994,,,,
"Software for Nuclear materials, facilities and equipment",0D001,,,,
"Software, numerical control",2D002,2D003,,,
"Software, real time processing in machine tools",2D002b,,,,
"Software, real time processing equipment operating systems",4D993c,,,,
"Software, recovery of source code",5D001c2,,,,
"“Software” specially designed or modified for the “development”, “production” or “use” of equipment controlled by 2A983",2D983,,,,
"“Software” “specially designed” for ground vehicles and related commodities controlled by 0A606, 0B606, or 0C606",0D606,,,,
"“Software” “specially designed” for commodities controlled by 0A617, “equipment” controlled by 0B617, or materials controlled by 0C617",0D617,,,,
“Software” specially designed for the “development” of the equipment controlled by 3A003,3D004,,,,
"“Software” “specially designed” for the “development,” “production,” operation, failure analysis or anomaly resolution of commodities controlled by 9A515.d",9D515d,,,,
"“Software” “specially designed” for the “development,” “production,” operation, failure analysis or anomaly resolution of commodities controlled by 9A515.e",9E515e,,,,
"Solar cells, cell-interconnect-coverglass (CIC) assemblies, solar panels, and solar arrays (space qualified)",3A001e4,3A991,,,
Solenoids,3A611y10,,,,
"Solenoids, superconductive",3A001e3,,,,
"Solenoids, superconductive",3A201b,,,,
Solid propellant rocket engines,9A107,,,,
Solid rocket propulsion systems,9A007,,,,
"Solid rocket propulsion system, components",9A008,,,,
"Solid rocket propulsion system, components",9A108,,,,
Solid state cameras,6A003b1,,,,
"Solid state joining equipment, tools/dies/fixtures",9B004,,,,
Solid state imaging devices,6A203b3,,,,
Solid-state imaging devices,6A002,,,,
Solid-state pulsed power switching thyristor devices and thyristor modules,3A001g,,,,
"Solid state lasers, tunable",6A005c,,,,
Solid state microwave amplifiers,3A001b4,,,,
"Solid-state power semiconductor switches, diodes, or 'modules'",3A001h,,,,
"Sonar, active individual",6A001a1e,,,,
Sonar processing equipment,6A001a2b,,,,
Sonar log equipment,6A001b,,,,
"Sonar, Side Scan Sonar (SSS) designed for seabed imaging",6A001a1a3,,,,
"Sonar, Synthetic Aperture Sonar (SAS) designed for seabed imaging",6A001a1a3,,,,
"Sonar, underwater navigation system",7A008,,,,
Sonar signal processing equipment,6A001a1d Note a,,,,
SONET (Synchronous Optical Network) technology,5E001b4,,,,
SONET (Synchronous Optical Network) technology,5E991a2,,,,
Sounding rocket use software,9D101,,,,
Sounding rockets,9A104,,,,
Source code automatic generation software,4D993b,,,,
"Source code, development of avionic goods as specified",7D004,0D521 No 2,,,
Source code recovery software,5D001c2,,,,
Space launch vehicles,9A004,,,,
Space probes,9A004,,,,
Space qualified focal plane arrays,6A002 a1d,,,,
Space qualified or radiation hardened photovoltaic arrays,3A001e1c,,,,
Space-qualified solid state detectors,6A002a1,,,,
Space-qualified optical components,6A004c,,,,
Spacecraft and related commodities,9A004,9A515,,,
Spacecraft components,9A515,9A010,,,
Spacecraft inertial navigation equipment/components,7A003,,,,
"Spark-gaps, triggered",3A228b,,,,
Speakers,3A611y11,,,,
Spectrometry analytical instruments,3A999f,,,,
Spherical or spheroidal aluminum powder,1C111a1,,,,
Spiked batons,0A983,,,,
Spin forming machines,2B009,,,,
Spin forming machines,2B209,,,,
Spin forming machines,2B999l,,,,
Spin forming machines capable of flow-forming functions,2B209,,,,
Spin forming machines combining spin-forming and flow-forming function,2B009,,,,
Spindle assemblies,2B998a,,,,
"Spindle assemblies, machine tools",2B008c,,,,
"Spray booms or arrays of aerosol generating units, specially designed for fitting to aircraft, lighter than air vehicles,” or “UAVs”",2B352i2,,,,
Spray cooling thermal management systems,3A003,,,,
Spray-drying equipment capable of drying toxins or pathogenic microorganisms,2B352f,,,,
"Spraying or fogging systems, specially designed for fitting to aircraft, “lighter than air vehicles,” or “UAVs”",2B352i1,,,,
"Spraying production equipment, plasma with controlled atmosphere",2B005d,,,,
Spread spectrum development technology techniques,5E001b4,,,,
Spread spectrum radio equipment,5A001b3,,,,
Spread spectrum spreading code generation,5A002a5,,,,
"Sprytron tubes, vacuum",3A228a,,,,
Sputter deposition production equipment,2B005e,,,,
"Sputtering equipment, magnetically enhanced",3B991b1f,,,,
SQUIDs (Superconducting quantum interference devices),6A006a1,,,,
Staging mechanisms for missiles,9A117,,,,
Stainless steel plate,1C999b,,,,
"Staphylococcus aureus enterotoxins, hemolysin alpha toxin, and toxic shock syndrome toxin (formerly known as Staphylococcus enterotoxin F)",1C351d14,,,,
‘Star trackers’ and components therefor,7A004,,,,
Statistical multiplex equipment,5A991b Note a7,,,,
Steam sterilizable freeze drying equipment,2B352e,,,,
"Steel, maraging",1C216,,,,
"Steel, maraging",1C116,,,,
"Steel, Titanium-stabilized duplex stainless (Ti-DSS)",1C118,,,,
"Steel plate, stainless",1C999b,,,,
"Stealth materials, coatings and treatments for signature suppression",0C617a,,,,
"Step & repeat equipment, semiconductor wafer processing",3B001f1,,,,
"Stirling cycle engine, air independent",8A002j4,,,,
St. Louis encephalitis virus,1C351a34,,,,
"Storage & holding vessels, critically safe & resistant to nitric acid",0B006e,,,,
Storage phosphor image plates,1A999b,,,,
"Storage tanks, chemical (capacity greater than 100 L)",2B350c,,,,
Stored program controlled (SPC) switching equipment,5A991c,,,,
"Stored program controlled (SPC) switching equipment, equipment for the development of equipment employing",5B001b,,,,
"Stored program controlled (SPC) switching equipment, software for the development of equipment employing",5D001d,,,,
"Stored program controlled (SPC) switching equipment, technology for the development of equipment employing",5E001c,,,,
"Stored program controlled equipment controlled by 3B, software for use of",3D002,,,,
Stored program controlled crystal pullers,3B991b1c2,,,,
Straight jackets,0A982,,,,
Strap down/gimbal inertial navigation systems or equipment,7A003,,,,
"Streak cameras, mechanical type",6A203a2,,,,
"Streak cameras, mechanical or electronic",6A003a3,,,,
"Streak tubes, electronic streak cameras",6A203b1,,,,
"Streak cameras, electronic type",6A203b1,,,,
Striplines to provide low inductance path to detonators,3A234,,,,
Stroboscopic light systems,8A992c,,,,
Structural composites production equipment,1B101,,,,
"Structures and composite structures, laminate, and manufacturers for missiles",9A110,,,,
Stun guns,0A985,,,,
Stun cuffs,0A982,,,,
Subcavitating hydrofoils,8A002m,,,,
Submarine diesel engines,8A620d,,,,
"Submarine engines, n.e.s.",8A992g,,,,
Submarine nets,8A620e,,,,
"Submarine vessel positioning systems, acoustic",6A001a1d,,,,
Submersible systems,8A992e,,,,
"Submersible vessels, cargo and transport",8A620,,,,
"Submersible vessels, military",8A620,,,,
"Submersible vessels, oceanographic and associated commodities",8A620,,,,
Submersible vehicles operation software (unmanned),8D999,,,,
"Submersible vehicles/vehicle systems, equipment, or components (non-military)",8A002a,,,,
Submersible vehicles/vehicle systems or equipment (non-military),8A001,,,,
"Substrate development/production technology, diamond film",3E003d,,,,
"Substrates, for X-ray masks",3B991b2b2,,,,
"Substrates, hard surface coated",3B991b2b1,,,,
"Substrates, multi-layer hetero-epitaxial materials",3C001,,,,
"Substrates, semiconductor with resist coating",3C002,,,,
"Substrates with at least one epitaxial layer of silicon carbide, gallium nitride, aluminum nitride or aluminum gallium nitride",3C006,,,,
"Suits, protective",1A995,2B352f1,,,
Sulphur dichloride,1C350c7,,,,
Sulphur monochloride,1C350c6,,,,
Super-ventilated propellers,8A002o1a,,,,
Supercavitating hydrofoils,8A002m,,,,
Supercavitating propellers,8A002o1a,,,,
Supercomputers,see Computers,,,,
Superconducting quantum interference devices (SQUIDs),6A006a1,,,,
Superconductive composite conductor,1C005,,,,
"Superconductive gates, current switching",3A001d1,,,,
Superconductive electrical equipment,9A620b,,,,
Superconductive electromagnetic sensors,6A996b,,,,
Superconductive electromagnets or solenoids,3A201b,,,,
Superconductive electromagnets or solenoids,3A001e3,,,,
Superconductive devices or circuits,3A001d,,,,
Superconductive quantum interference devices (SQUIDs),6A006a1,,,,
Superconductive propulsion engines,8A002o2c,,,,
Superconductive electromagnetic sensors,6A996,,,,
Superconductive electronic device technology,3E003c,,,,
"Superplastic forming technology, metal working",2E003b1a,,,,
"Superplastic forming tools, dies, molds or fixtures",1B003,,,,
"Superplastic forming technology/data, Al/Ti/Super alloys",2E003b2a,,,,
Surface acoustic wave devices,3A001c1,,,,
Surface coating & processing equipment,2B005,,,,
"Surface-effect vehicles, (fully skirted variety)",8A001f,,,,
"Surface-effect vehicles, (fully skirted variety)",8A002k,,,,
"Surface-effect vehicles,(rigid sidewalls)",8A001g,,,,
Surface finishing equipment,3B991b1k,,,,
Surface irregularity measuring equipment/instruments,2B006c,,,,
Surface skimming (shallow bulk) acoustic wave devices,3A001c1,,,,
"Surface vessel positioning systems, acoustic",6A001a1d,,,,
Surface vessels & components,8A001,8A609,,,
Surface vessels of war and related commodities,8A609,,,,
"Surface wave radar, high frequency",3A611e,,,,
Surreptitious interception devices,5A980,,,,
Surreptitious interception systems and equipment,5A001f,,,,
"Surreptitious interception systems and equipment, software for",5D001,5D980,,,
"Surreptitious interception systems and equipment, technology for",5.00E+01,5E980,,,
"Survey equipment, surface vessel",6A001a1a1,,,,
"Survey equipment, underwater",6A001a1a2,,,,
"Survey systems or transmitting and receiving arrays, bathymetric",6A001a1b,,,,
Swine fever virus (African),1C352a1,,,,
Swine fever virus (Hog cholera virus),1C352a7,,,,
Switch fabric development/production technology,5A991c10,,,,
"Switches, filtered and unfiltered mechanical",3A611y21,,,,
"Switching devices, modules or assemblies",3A228,,,,
"Switching equipment, stored program controlled",5A991c,,,,
Synchronous Digital Hierarchy (SDH) technology,5E001b4,,,,
Synchronous Digital Hierarchy (SDH) technology,5E991a2,,,,
Synchronous Optical Network technology (SONET),5E001b4,,,,
Synchronous Optical Network technology (SONET),5E991a2,,,,
Synchytrium endobioticum,1C354b9,,,,
"Syntactic foam, underwater use",8C001,,,,
Synthetic crystalline laser host material,6C005,,,,
Synthetic diamond material,6C004f,,,,
Synthetic aperture radar (SAR),6A008d,,,,
Systolic array computers/assemblies/components,4A004a,,,,
T-2 toxic,1C351d15,,,,
"Tanks, austenitic stainless steel",2B999n,,,,
"Tanks, chemical storage (capacity greater than 100 L)",2B350c,,,,
"Tanks, monel",2B999f,,,,
"Tanks, stainless steel",2B999g,,,,
Tank turret rings and sprockets induction hardening machines,2B018m,,,,
Tank turret bearing grinding machines,2B018s,,,,
Tantalum crucibles coated with tantalum carbide/nitride/boride,2A225c,,,,
Tantalum made or lined crucibles,2A225b,,,,
Tape designed for testing recording equipment of entry 3A002a,3A002a,,,,
"Tape bonders, stored program controlled equipment",3B991b3b,,,,
Tape recording equipment,3A002a,,,,
Tape-laying machines,1B101b,,,,
Tape-laying machines,1B001b,,,,
Tar sands,1C981,,,,
Tear gas,1A984,,,,
Technology,see product group E for controls for each category,,,,
"Technology, airborne equipment",7E004a,,,,
"Technology, development of frequency hopping techniques",5E001b4,,,,
"Technology, development of spread spectrum techniques",5E001b4,,,,
"Technology, “development,” “production,” or “use” of “software” controlled by ECCN 3D201 or 3D202",3.00E+202,,,,
"Technology, diamond substrate film",3E003d,,,,
"Technology, for commodities controlled by 8A609, 8B609, or 8C609, or “software” controlled by 8D609",8E609,,,,
"Technology, for ground vehicles and related commodities in 0A606, 0B606, 0C606 or software in 0D606",0E606,,,,
"Technology, for items controlled by 0A617, 0B617, 0C617, 0D617",0E617,,,,
"Technology, for items controlled by 8A620, 8B620 or 8D620",8D620,8E620,,,
"Technology, gas turbine engine components",9E003c,9E619,,,
"Technology, gas turbine engine components",9E003a,9E619,,,
"Technology, helicopter power transfer systems",9E003a,9E619,,,
"Technology, hetero-structure semiconductor development",3E003b,,,,
"Technology, high output type diesel engines",9E003e,,,,
"Technology, integration software for expert systems",2E003e,,,,
"Technology, machine tool instruction generators",2E003d,,,,
"Technology, “production” or “use” of “software” controlled by ECCN 6D201",6.00E+202,,,,
"“Technology” specially designed or modified for the “development”, “production” or “use” of equipment controlled by 2A983, or the “development” of software controlled by 2D983",2E983,,,,
Technology “required” for the “development” or “production” of commodities controlled by ECCN 6A990,6E990,,,,
"“Technology” “required” for the “development,” “production,” operation, failure analysis or anomaly resolution of commodities controlled by 9A515.d",9E515d,,,,
"“Technology” “required” for the “development,” “production,” failure analysis or anomaly resolution of commodities controlled by 9A515.e",9E515e,,,,
"Technology, superconductive electronic device",3E003c,,,,
"Technology, tilt rotor/wing power transfer systems development",9E003d,9E610a,,,
"Technology, vacuum microelectronic device",3E003a,,,,
TEGDN (Triethylene glycol dinitrate) propellant additive,1C111c2,,,,
Telecommunications equipment,5A001,,,,
"Telecommunications equipment, parts, components for a military application",5A611,3A611,,,
"Telecommunications equipment, high and low temperature tolerant",5A991a,,,,
Telecommunication equipment not controlled by 5A001,5A991,,,,
Telecommunications equipment/system software,5D001c1,,,,
Telecommunications interception equipment,5A001f,,,,
Telecommunication monitoring equipment,5A001f,,,,
"Telecommunication test, inspection and production equipment",5B001,,,,
Telecommunications test equipment,5B991,,,,
"Telecommunications transmission equipment, equipment for the development of equipment employing",5B001b,,,,
"Telecommunications transmission equipment, software for the development of equipment employing",5D001d,,,,
"Telecommunications transmission equipment, technology for the development of equipment employing",5E001c,,,,
Telemetering & telecontrol equipment for missile,5A101,,,,
"Television cameras (radiation hardened), or lenses therefor",6A203d,,,,
"Television cameras, underwater",8A002d1b,,,,
"Television cameras, underwater",8A002d1,,,,
"Television cameras, underwater",8A002d1a,,,,
"Television cameras, underwater",8A992a2,,,,
"Television systems (camera, lights, monitoring and signal transmission equipment), remote operation with submersible vehicle",8A992a1,,,,
Tellurium (Te),6C002a,,,,
Tempest type equipment,5A002a4,,,,
Tension stretchers for prepregs/preform production,1B101d,,,,
Terminal interface equipment,4A994i,,,,
"Terrestrial, marine acoustic equipment",6A991,,,,
Teschen disease virus,1C352a14,,,,
"Test benches/stands, for rockets/motors/rocket engines",9B117,,,,
"Test, calibration or alignment equipment for equipment controlled by 7A",7B001,,,,
"Test chambers, aerosol challenge",2B352g,,,,
Test equipment - propellants and their constituents,1B115,,,,
Test equipment - specially designed for testing finished or unfinished semiconductor devices,3B002,,,,
"Test, inspection, and production commodities for military electronics",3B611,,,,
Test models for defense articles,0A617,,,,
"Test receivers, microwave",3A002f,,,,
Test tape designed for recording equipment of entry 3A002a,3A002a,,,,
"Testing equipment, for electronic components",3B992b4,,,,
"Test, inspection, development and production equipment for Category 5 item",5B,,,,
Tetrazines,Annex to Category 1 List of Explosives 47,,,,
Tetrodotoxin,1C351d16,,,,
"TEX (4,10-Dinitro-2,6,8,12-tetraoxa-4, 10- diazaisowurtzitane)",Annex to Category 1 List of Explosives 45,,,,
Thallium arsenic selenide (Tl3AsSe3 or TAS),6C004b3,,,,
Thecaphora solani,1C354b11,,,,
Thermal batteries,9A604,,,,
Thermal ionization mass spectrometers (TIMS),3A233c,,,,
"Thermal sensors, optical fiber",6A002d3,,,,
Thermoplastic liquid crystal copolymers,1C008b,,,,
Thermoset resin impregnated materials,1C210c,,,,
"Thio-ethers, as lubricating fluids",1C006b1,,,,
Thiodiglycol,1C350b20,,,,
Thionyl chloride,1C350c8,,,,
"Thrust tabs, thrust vector control subsystems",9A106c,,,,
Thrust vector control sub-system,9A106c,,,,
Thulium-YAG (Tm:YAG) lasers,6A005c1,6A005c2,6A005c3,,
Thulium-YSGG (Tm:YSGG) lasers,6A005c1,6A005c2,6A005c3,,
Thumbcuffs,0A983,,,,
Thumbscrews,0A983,,,,
Thumbwheels,3A611y22,,,,
"Thyristor devices and modules, solid-state pulsed power switching",3A001g,,,,
"Tick-borne encephalitis virus (Far Eastern subtype, formerly known as Russian Spring-Summer encephalitis virus)",1C351a35,,,,
Spring-Summer encephalitis virus),1C351a35,,,,
"Tick-borne encephalitis virus (Siberian subtype, formerly known as West Siberian virus)",1C351b3,,,,
Tilletia indica,1C354b10,,,,
Tilt rotor/tilt wing power transfer system technology,9E003d,9E610a,,,
Tilting spindles for machine tools,2B009c,,,,
"Time delay general, electronic equipment for",3A999e,,,,
"Time interval measurement, electronic equipment for",3A999e,,,,
Time or frequency domain processing & correlation equipment,6A001a2c,,,,
TIMS (Thermal ionization mass spectrometers,3A233c,,,,
Tires (aircraft),9A610y1,,,,
"Tires (ground vehicles), except run flat",0A60615,,,,
Titanium alloys,1C002b3,,,,
"Titanium alloys, as tubes/solid forms/forgings",1C202b,,,,
Titanium alloy/powder or particulate form,1C002c1c,,,,
Titanium aluminides,1C002a2,,,,
Titanium-based alloys,1C002b3,,,,
Titanium doped sapphire laser host material,6C005a,,,,
Titanium-sapphire (Ti: Al2O3) lasers,6A005c1,6A005c2,6A005c3,,
Titanium-stabilized duplex stainless steel 9Ti-DSS),1C118,,,,
TMETN (trimethylolethane trinitrate),1C111c4,,,,
Tooling for powder metallurgy rotor component manufacture,9B009,,,,
Torpedo net,8A620e,,,,
Torquemeter assembly software,9D619b9,,,,
"Torture, specially designed implements of",0A983,,,,
Touchpads,3A611y28,,,,
Tow-placement machines,1B001g,,,,
Towed acoustic hydrophone arrays,6A001a2b,,,,
Toxic gas monitoring systems,2B351,,,,
Toxins,1C350,1C351,1C355,1C395,
Trackballs,3A611y12,,,,
Tracking radar,6A008l1,,,,
"Tracking systems, precision",6A108b1,,,,
Tracking systems,6A008l,,,,
Tractors and parts,9A990,,,,
"Transceivers, radio",5A001b2 through 10,,,,
"Transceivers, radio",5A991b6,5A991b7,,,
Transcoders (translation encoders),5A991b Note a6,,,,
"Transducers, wall skin friction",9B008,,,,
"Transducers, acoustic projectors",6A001a1c,,,,
"Transformers, electric",3A611y13,,,,
Transient recorders (Waveform digitizers),3A002a5,3A292d,,,
"Transistor test equipment, S-parameter measurement",3B002a,,,,
"Transistors, microwave",3A001b3,,,,
Translation encoders (transcoders),5A991b Note a6,,,,
"Transmission fluids, automatic",1C980,,,,
Transmission equipment,5A991b,,,,
Transmission equipment for Improvised Explosive Devices (IED),5A001h,,,,
Transmissions for tracked combat vehicles,0A606d,,,,
Transmit/receive or transmit module technology,3E611b2,,,,
Transmultiplex equipment,5A991b Note a9,,,,
"Traveling wave tubes (TWTs), industrial",3A001b1a,,,,
Tributyl phosphate,1C999d,,,,
Triethanolamine,1C350c9,,,,
Triethanolamine hydrochloride,1C350d20,,,,
Triethyl phosphite,1C350c10,,,,
Triethylene glycol dinitrate (TEGDN),1C111c2,,,,
Triggered spark-gaps,3A228b,,,,
"Triggers, high voltage",3A999c,,,,
Trimethyl phosphite,1C350c11,,,,
"Tritium, compounds & mixtures",1C235,,,,
Tritium plant or facilities equipment,1B231b,,,,
"Tritium production recovery, extraction & concentration handling facilities or plant",1B231a,,,,
Trusted Computer System Evaluation Criteria (TCSEC) capability,5A002f,,,,
"Tubes, gas krytron",3A228a,,,,
